n	kappa	ppc	beta
1450.0	15.0	2.0	10.0
50.0	1.0	2.0	2.0
50.0	1.0	2.0	2.0
1150.0	3.0	5.0	15.0
1150.0	7.0	5.0	14.0
1400.0	7.0	1.0	12.0
950.0	3.0	1.0	8.0
50.0	7.0	1.0	14.0
50.0	1.0	2.0	14.0
200.0	7.0	2.0	13.0
50.0	7.0	1.0	13.0
50.0	1.0	3.0	7.0
650.0	3.0	2.0	5.0
1500.0	3.0	1.0	14.0
1450.0	3.0	1.0	8.0
1300.0	1.0	1.0	4.0
250.0	3.0	5.0	13.0
1350.0	3.0	2.0	15.0
900.0	15.0	5.0	14.0
800.0	1.0	5.0	15.0
1350.0	3.0	5.0	15.0
100.0	15.0	1.0	2.0
1100.0	3.0	4.0	15.0
1350.0	3.0	5.0	14.0
1100.0	3.0	1.0	2.0
50.0	7.0	2.0	8.0
200.0	7.0	4.0	2.0
1100.0	7.0	3.0	14.0
900.0	3.0	3.0	11.0
250.0	15.0	2.0	11.0
350.0	3.0	2.0	6.0
650.0	3.0	5.0	7.0
1000.0	7.0	5.0	14.0
150.0	7.0	5.0	4.0
900.0	15.0	1.0	6.0
1400.0	3.0	1.0	15.0
100.0	3.0	1.0	7.0
50.0	1.0	1.0	7.0
50.0	15.0	1.0	2.0
50.0	15.0	5.0	3.0
50.0	15.0	2.0	13.0
1350.0	15.0	4.0	3.0
1300.0	1.0	2.0	13.0
150.0	1.0	5.0	15.0
850.0	1.0	1.0	11.0
1200.0	7.0	2.0	7.0
650.0	1.0	3.0	12.0
1150.0	1.0	2.0	14.0
50.0	3.0	3.0	2.0
50.0	7.0	1.0	2.0
50.0	1.0	4.0	8.0
1500.0	1.0	5.0	15.0
1250.0	3.0	4.0	13.0
1400.0	7.0	5.0	14.0
450.0	1.0	1.0	8.0
1150.0	1.0	5.0	8.0
800.0	3.0	5.0	15.0
150.0	7.0	1.0	15.0
650.0	15.0	5.0	15.0
1250.0	1.0	4.0	12.0
1000.0	15.0	2.0	15.0
50.0	3.0	2.0	10.0
400.0	1.0	2.0	14.0
50.0	15.0	1.0	10.0
150.0	3.0	5.0	15.0
1300.0	7.0	5.0	12.0
1150.0	7.0	5.0	14.0
1000.0	3.0	5.0	13.0
1500.0	7.0	5.0	13.0
1500.0	7.0	2.0	12.0
1450.0	3.0	4.0	15.0
1450.0	7.0	2.0	13.0
1100.0	7.0	2.0	15.0
50.0	1.0	1.0	2.0
800.0	1.0	4.0	15.0
1200.0	1.0	3.0	13.0
1500.0	1.0	4.0	15.0
50.0	1.0	1.0	11.0
100.0	1.0	1.0	8.0
1200.0	1.0	5.0	12.0
450.0	7.0	1.0	5.0
1000.0	1.0	1.0	8.0
50.0	7.0	1.0	3.0
50.0	1.0	1.0	7.0
1350.0	7.0	1.0	11.0
1450.0	3.0	3.0	8.0
1500.0	7.0	1.0	9.0
50.0	15.0	1.0	2.0
950.0	3.0	1.0	2.0
1500.0	3.0	5.0	14.0
550.0	1.0	2.0	11.0
1400.0	15.0	1.0	15.0
850.0	3.0	5.0	2.0
1350.0	15.0	5.0	15.0
50.0	1.0	2.0	2.0
1100.0	15.0	4.0	13.0
200.0	15.0	1.0	2.0
500.0	15.0	4.0	14.0
50.0	7.0	1.0	11.0
950.0	1.0	5.0	15.0
1500.0	3.0	4.0	15.0
100.0	7.0	5.0	15.0
1450.0	7.0	3.0	14.0
1500.0	3.0	5.0	15.0
1350.0	3.0	1.0	15.0
400.0	3.0	1.0	14.0
300.0	7.0	4.0	15.0
750.0	1.0	4.0	10.0
50.0	1.0	4.0	6.0
100.0	1.0	3.0	2.0
1100.0	15.0	4.0	15.0
250.0	3.0	1.0	14.0
200.0	15.0	1.0	15.0
1200.0	3.0	5.0	15.0
1400.0	7.0	1.0	14.0
1300.0	15.0	5.0	14.0
850.0	1.0	5.0	10.0
1100.0	1.0	3.0	14.0
950.0	3.0	5.0	14.0
1350.0	1.0	1.0	4.0
400.0	7.0	5.0	4.0
